1	Riesling	A white grape originating in the Rhine Valley, Riesling is used for sparkling, dry, sweet, and semi-sweet white wines.  It is highly acidic with an aromatic bouquet.	https://en.wikipedia.org/wiki/Riesling
2	Cabernet Sauvignon	A hybrid red wine grape originating from France, Cabernet Sauvignon is one of the most popular grapes in winemaking.  It is acidic with a high tannic character.	https://en.wikipedia.org/wiki/Cabernet_Sauvignon
3	Sangiovese	A red wine grape originating in Italy, Sangiovese is particularly well-known for Tuscan wines.  It is highly acidic, though not particularly aromatic.	https://en.wikipedia.org/wiki/Sangiovese
4	Merlot	A red wine grape originating in the Bordeaux region of France, Merlot is the most popular grape used in winemaking in the world.  It displays low acidity, medium tannins, and high aroma.	https://en.wikipedia.org/wiki/Merlot
5	Peach	A fruity non-grape wine.	https://en.wikipedia.org/wiki/Peach
7	Grenache	A red wine grape originating in Spain, Grenache remains a popular variety in the Mediterranean. It possesses low acidity and tannins, yet is quite aromatic.	https://en.wikipedia.org/wiki/Grenache
8	Viognier	A white wine grape dating to Roman times, Viognier is now best known for Condrieu from France's Rhône Valley.  It has low acidity and a mild aroma.	https://en.wikipedia.org/wiki/Viognier
9	Chardonnay	A hybrid white wine grape originating in France, Chardonnay is now grown more widely than any other grape worldwide.  It possesses high acidity and fruity flavors.	https://en.wikipedia.org/wiki/Chardonnay
10	White varieties	null	null
11	Syrah	A red wine grape originating in France, Syrah is now grown around the world, with wines outside France often labelled Shiraz.  It possesses both high acidity and high tannins.	https://en.wikipedia.org/wiki/Syrah
13	Petit Verdot	A red wine grape of unknown Old World origin, but is now popular in the New World.  Usually used in blends, it develops a strong aroma and mild tannins.	https://en.wikipedia.org/wiki/Petit_Verdot
14	Mourvèdre	A red wine grape, likely of Spanish origin.  Generally used in blends with Grenache and Syrah, Mourvèdre is high in tannins.	https://en.wikipedia.org/wiki/Mourv%C3%A8dre
15	Norton	A red wine grape of North American (Virginia) origin.  Low acidity and high tannins.	https://en.wikipedia.org/wiki/Norton_(grape)
16	Pinot Noir	A red wine grape of unknown origin, but dating to at least Roman times, Pinot Noir is now grown around the world.  Low tannins, and an aroma that evolves from fruity to more natural.	https://en.wikipedia.org/wiki/Pinot_noir
17	Tempranillo	A red wine grape native to Spain, Tempranillo is now grown around the world.  It possesses a mild aroma and low acidity.	https://en.wikipedia.org/wiki/Tempranillo
18	Red varieties	null	null
19	Cabernet Franc	A red wine grape originating in renaissance France, Cabernet Franc is primarily blended with Cabernet Sauvignon and Merlot.  It possesses medium acidity along with mild tannins.	https://en.wikipedia.org/wiki/Cabernet_Franc
20	Gewürztraminer	A white wine grape possibly originating from northern Italy, most of Gewurztraminer's history harkens from the Rhine Valley, but is now grown worldwide.  Its low acidity makes it sweet wine, with a spicy bouquet.	https://en.wikipedia.org/wiki/Gew%C3%BCrztraminer
21	Sauvignon Blanc	A white wine grape originating in southwestern France, Sauvignon Blanc is now used in dessert wines around the world.  It is high in acidity, with a fruity bouquet.	https://en.wikipedia.org/wiki/Sauvignon_blanc
22	Chenin Blanc	A white wine grape originating in the Loire, Chenin Blanc is now popular in South Africa.  Its high acidity makes it ideal for dessert and sparkling wines.	https://en.wikipedia.org/wiki/Chenin_blanc
23	Grenache Blanc	A white wine grape developed from Grenache in Spain, Grenache Blanc is now also grown widely in the Rhône Valley in France.  It has low acidity and strong flavors.	https://en.wikipedia.org/wiki/Grenache_blanc
24	Seyval	A hybrid white wine grape, Seyval is grown primarily in England and the North American East Coast.  It is illegal for use in the European Union.	https://en.wikipedia.org/wiki/Seyval_blanc
25	Vidal Blanc	A hybrid white wine grape, Vidal Blanc was developed in France specifically for cognac.  Though no longer allowed for production in France, it has become popular in North American vineyards. 	https://en.wikipedia.org/wiki/Vidal_blanc
26	Pinot Grigio	A white wine grape, Pinot Grigio originated in Burgundy.  Now grown world-wide, wines made from it vary greatly based on region.	https://en.wikipedia.org/wiki/Pinot_gris
27	Albariño	A white wine grape with unknown origins, Albariño is grown in SPain and Portugal.  It is highly acidic, with a fruity bouquet.	https://en.wikipedia.org/wiki/Albari%C3%B1o
28	Zinfandel	A red wine grape, Zinfandel is grown both Europe (for reds) and in California (for rosés).  Its wines are noted for high alcohol content.	https://en.wikipedia.org/wiki/Zinfandel
29	Cinsault	A red wine grape, Cinsault originated in the Mediterranean.  Often blended with other grapes, it goes by a large multitude of names.	https://en.wikipedia.org/wiki/Cinsaut
30	Rose varieties	null	null
31	Orange Muscat	A white wine grape of the Muscat family.  Characteristics vary by region.	https://en.wikipedia.org/wiki/Muscat_(grape)
32	Port Varieties	null	null
33	Carignan	A red wine grape originating in Spain, Carignan is now grown throughout the Mediterranean.  It is both high in acidity and tannins.	https://en.wikipedia.org/wiki/Carignan
34	Malbec	A red wine grape originating in France, Malbec is now primarily grown in the Americas.  It is low in acidity and tannins.	https://en.wikipedia.org/wiki/Malbec
35	Tannat	A red wine grape originating in France, Tannat is now the national grape Uruguay (and is popular throughout the Americas).  Characteristics vary by region.	https://en.wikipedia.org/wiki/Tannat
36	Nibbiola	An Italian red wine grape variety predominantly associated with its native Piedmont region.	https://en.wikipedia.org/wiki/Nebbiolo
37	Other Dessert	null	null